FluorCam7 Numeric Avg Export File
-----------------------------------
	Area 1	Area 2	Area 3	Area 4
Size [pixels]	39313	48087	34836	44603
Fo	169.32	160.68	175.90	157.64
Fm	718.01	700.17	733.21	675.83
Fv	548.69	539.49	557.31	518.19
Fm_L1	327.86	310.14	326.03	293.72
Fm_L2	238.37	230.81	239.82	216.77
Fm_L3	207.84	202.09	211.54	190.84
Fm_L4	194.44	189.05	198.01	179.56
Fm_L5	188.17	181.65	190.97	174.97
Fm_L6	190.88	180.77	190.78	175.09
Fm_L7	194.30	180.71	191.00	176.33
Fm_L8	196.26	181.28	192.18	177.07
Fm_L9	184.03	169.39	181.75	164.70
Fm_D1	304.81	278.99	294.10	262.14
Fm_D2	487.58	456.02	478.12	435.60
Ft_L1	327.77	312.67	326.57	292.62
Ft_L2	224.54	218.18	227.73	203.88
Ft_L3	190.70	187.45	196.34	174.09
Ft_L4	174.21	171.91	180.34	159.60
Ft_L5	163.28	159.94	167.71	150.51
Ft_L6	162.09	155.81	164.21	149.29
Ft_L7	164.51	155.81	162.95	149.57
Ft_L8	166.05	155.29	163.27	150.12
Ft_L9	166.55	153.74	163.57	147.71
Ft_D1	156.86	142.23	154.92	134.45
Ft_D2	168.95	158.43	170.84	152.46
Fo_D1	128.30	119.34	129.51	115.23
Fo_D2	152.34	143.10	155.94	139.67
Fq_L1	0.09	-2.53	-0.54	1.10
Fq_L2	13.83	12.63	12.09	12.90
Fq_L3	17.14	14.64	15.20	16.75
Fq_L4	20.23	17.14	17.67	19.95
Fq_L5	24.89	21.71	23.26	24.46
Fq_L6	28.79	24.96	26.57	25.80
Fq_L7	29.79	24.90	28.04	26.76
Fq_L8	30.21	25.99	28.91	26.95
Fq_L9	17.48	15.65	18.18	16.99
Fm_v_Fo	0.80	0.74	0.67	0.66
init_qFm	-0.37	-0.39	-0.38	-0.40
qPTOX	0.11	0.12	0.13	0.13
QY_max	0.76	0.77	0.76	0.77
QY_L1	0.00	-0.01	-0.00	0.00
QY_L2	0.06	0.05	0.05	0.06
QY_L3	0.08	0.07	0.07	0.09
QY_L4	0.10	0.09	0.09	0.11
QY_L5	0.13	0.12	0.12	0.14
QY_L6	0.15	0.14	0.14	0.15
QY_L7	0.15	0.14	0.15	0.15
QY_L8	0.15	0.14	0.15	0.15
QY_L9	0.10	0.09	0.10	0.10
QY_D1	0.49	0.49	0.47	0.49
QY_D2	0.65	0.65	0.64	0.65
NPQ_L1	1.19	1.26	1.25	1.30
NPQ_L2	2.01	2.03	2.06	2.12
NPQ_L3	2.45	2.46	2.47	2.54
NPQ_L4	2.69	2.70	2.70	2.76
NPQ_L5	2.82	2.85	2.84	2.86
NPQ_L6	2.76	2.87	2.84	2.86
NPQ_L7	2.70	2.87	2.84	2.83
NPQ_L8	2.66	2.86	2.82	2.82
NPQ_L9	2.90	3.13	3.03	3.10
NPQ_D1	1.36	1.51	1.49	1.58
NPQ_D2	0.47	0.54	0.53	0.55
transNPQ	-0.18	-0.17	-0.17	-0.17
Qp_L1	0.00	-0.01	-0.00	0.01
Qp_L2	0.11	0.10	0.10	0.12
Qp_L3	0.17	0.15	0.15	0.18
Qp_L4	0.22	0.19	0.19	0.24
Qp_L5	0.29	0.26	0.27	0.30
Qp_L6	0.33	0.30	0.31	0.32
Qp_L7	0.33	0.30	0.32	0.33
Qp_L8	0.33	0.31	0.33	0.33
Qp_L9	0.21	0.21	0.23	0.23
Qp_D1	0.84	0.86	0.85	0.87
Qp_D2	0.95	0.95	0.95	0.96
