FluorCam7 Numeric Avg Export File
-----------------------------------
	Area 1	Area 2	Area 3	Area 4
Size [pixels]	60674	44089	71831	44553
Fo	105.37	84.93	106.29	76.56
Fm	685.45	571.97	705.55	544.00
Fv	580.07	487.04	599.26	467.44
Fm_L1	417.62	369.54	431.88	343.72
Fm_L2	294.31	260.85	304.62	239.66
Fm_L3	265.81	234.13	277.53	215.14
Fm_L4	260.34	228.56	273.16	212.45
Fm_L5	253.40	221.70	266.46	208.91
Fm_L6	251.98	216.78	262.71	203.84
Fm_L7	256.98	218.12	267.30	204.25
Fm_L8	264.66	221.41	274.67	207.97
Fm_L9	234.71	193.71	241.40	183.46
Fm_D1	366.50	294.48	373.90	279.11
Fm_D2	463.74	384.12	470.78	362.29
Ft_L1	398.99	350.19	412.11	326.38
Ft_L2	254.55	223.59	261.98	206.00
Ft_L3	214.96	187.06	222.98	172.41
Ft_L4	199.80	173.18	208.39	160.63
Ft_L5	188.48	162.23	197.12	151.69
Ft_L6	184.75	157.53	191.40	146.29
Ft_L7	185.14	155.46	191.79	144.52
Ft_L8	187.36	156.03	192.67	144.51
Ft_L9	187.90	153.91	192.67	144.19
Ft_D1	118.74	92.84	118.28	84.41
Ft_D2	109.65	86.94	109.84	79.05
Fo_D1	92.94	74.51	93.76	67.54
Fo_D2	98.16	79.18	98.86	71.51
Fq_L1	18.63	19.35	19.77	17.33
Fq_L2	39.77	37.27	42.64	33.66
Fq_L3	50.86	47.07	54.55	42.73
Fq_L4	60.54	55.38	64.77	51.82
Fq_L5	64.93	59.47	69.33	57.22
Fq_L6	67.23	59.25	71.31	57.54
Fq_L7	71.84	62.66	75.51	59.73
Fq_L8	77.30	65.38	82.01	63.47
Fq_L9	46.81	39.79	48.72	39.27
Fm_v_Fo	2.48	2.47	2.52	2.65
init_qFm	-0.21	-0.23	-0.21	-0.23
qPTOX	0.07	0.07	0.08	0.07
QY_max	0.85	0.85	0.85	0.86
QY_L1	0.04	0.05	0.05	0.05
QY_L2	0.14	0.14	0.14	0.14
QY_L3	0.19	0.20	0.20	0.20
QY_L4	0.23	0.24	0.24	0.24
QY_L5	0.26	0.27	0.26	0.27
QY_L6	0.27	0.27	0.27	0.28
QY_L7	0.28	0.29	0.28	0.29
QY_L8	0.29	0.30	0.30	0.31
QY_L9	0.20	0.21	0.20	0.21
QY_D1	0.68	0.68	0.68	0.70
QY_D2	0.76	0.77	0.77	0.78
NPQ_L1	0.64	0.55	0.63	0.58
NPQ_L2	1.33	1.19	1.32	1.27
NPQ_L3	1.58	1.44	1.54	1.53
NPQ_L4	1.63	1.50	1.58	1.56
NPQ_L5	1.70	1.58	1.65	1.60
NPQ_L6	1.72	1.64	1.69	1.67
NPQ_L7	1.67	1.62	1.64	1.66
NPQ_L8	1.59	1.58	1.57	1.62
NPQ_L9	1.92	1.95	1.92	1.97
NPQ_D1	0.87	0.94	0.89	0.95
NPQ_D2	0.48	0.49	0.50	0.50
transNPQ	-0.16	-0.17	-0.15	-0.17
Qp_L1	0.06	0.07	0.06	0.06
Qp_L2	0.19	0.20	0.20	0.19
Qp_L3	0.28	0.29	0.29	0.28
Qp_L4	0.34	0.35	0.35	0.35
Qp_L5	0.38	0.39	0.38	0.39
Qp_L6	0.40	0.40	0.40	0.41
Qp_L7	0.42	0.42	0.41	0.42
Qp_L8	0.43	0.43	0.43	0.44
Qp_L9	0.31	0.31	0.31	0.32
Qp_D1	0.91	0.92	0.91	0.92
Qp_D2	0.97	0.97	0.97	0.97
