FluorCam7 Numeric Avg Export File
-----------------------------------
	Area 1	Area 2	Area 3	Area 4
Size [pixels]	24684	27852	31980	32472
Fo	129.25	120.19	125.77	102.59
Fm	305.76	324.82	328.50	300.17
Fv	176.51	204.63	202.73	197.59
Fm_L1	143.54	138.68	128.62	123.38
Fm_L2	117.31	112.49	110.70	99.33
Fm_L3	114.51	111.72	110.92	98.09
Fm_L4	115.25	114.28	113.43	99.72
Fm_L5	118.00	120.07	116.91	103.25
Fm_L6	119.31	123.07	118.43	105.71
Fm_L7	121.29	125.44	119.29	106.94
Fm_L8	121.68	126.20	118.85	107.12
Fm_L9	116.14	118.76	112.35	100.44
Fm_D1	169.07	179.92	169.51	152.86
Fm_D2	205.04	231.03	215.33	196.94
Ft_L1	139.90	132.53	121.53	116.56
Ft_L2	107.92	99.71	98.55	87.56
Ft_L3	103.64	97.95	97.18	84.49
Ft_L4	103.08	99.06	98.91	85.78
Ft_L5	104.71	102.87	101.39	87.95
Ft_L6	106.38	105.83	103.11	89.64
Ft_L7	107.20	107.23	103.21	90.48
Ft_L8	107.55	107.95	103.54	91.54
Ft_L9	107.48	108.01	102.79	90.82
Ft_D1	101.62	99.66	96.31	82.09
Ft_D2	110.39	107.90	106.04	89.52
Fo_D1	96.33	92.60	92.54	77.17
Fo_D2	107.03	104.49	104.70	87.00
Fq_L1	3.64	6.15	7.09	6.82
Fq_L2	9.40	12.78	12.14	11.77
Fq_L3	10.87	13.77	13.74	13.61
Fq_L4	12.17	15.22	14.52	13.94
Fq_L5	13.29	17.20	15.52	15.30
Fq_L6	12.93	17.24	15.33	16.07
Fq_L7	14.09	18.21	16.08	16.46
Fq_L8	14.13	18.25	15.31	15.58
Fq_L9	8.67	10.75	9.56	9.62
Fm_v_Fo	0.31	0.50	0.35	0.49
init_qFm	-0.18	-0.22	-0.21	-0.22
qPTOX	0.21	0.15	0.20	0.18
QY_max	0.58	0.63	0.62	0.66
QY_L1	0.03	0.04	0.06	0.06
QY_L2	0.08	0.11	0.11	0.12
QY_L3	0.09	0.12	0.12	0.14
QY_L4	0.11	0.13	0.13	0.14
QY_L5	0.11	0.14	0.13	0.15
QY_L6	0.11	0.14	0.13	0.15
QY_L7	0.12	0.15	0.13	0.15
QY_L8	0.12	0.14	0.13	0.15
QY_L9	0.07	0.09	0.09	0.10
QY_D1	0.40	0.45	0.43	0.46
QY_D2	0.46	0.53	0.51	0.55
NPQ_L1	1.13	1.34	1.55	1.43
NPQ_L2	1.61	1.89	1.97	2.02
NPQ_L3	1.67	1.91	1.96	2.06
NPQ_L4	1.65	1.84	1.90	2.01
NPQ_L5	1.59	1.71	1.81	1.91
NPQ_L6	1.56	1.64	1.77	1.84
NPQ_L7	1.52	1.59	1.75	1.81
NPQ_L8	1.51	1.57	1.76	1.80
NPQ_L9	1.63	1.74	1.92	1.99
NPQ_D1	0.81	0.81	0.94	0.96
NPQ_D2	0.49	0.41	0.53	0.52
transNPQ	-0.04	-0.01	0.00	-0.02
Qp_L1	0.06	0.11	0.14	0.13
Qp_L2	0.23	0.31	0.31	0.30
Qp_L3	0.28	0.33	0.35	0.36
Qp_L4	0.31	0.36	0.36	0.36
Qp_L5	0.33	0.37	0.36	0.37
Qp_L6	0.31	0.36	0.35	0.38
Qp_L7	0.33	0.37	0.37	0.38
Qp_L8	0.33	0.36	0.35	0.36
Qp_L9	0.22	0.24	0.24	0.24
Qp_D1	0.93	0.92	0.95	0.94
Qp_D2	0.97	0.97	0.99	0.98
