FluorCam7 Numeric Avg Export File
-----------------------------------
	Area 1	Area 2	Area 3	Area 4
Size [pixels]	26099	28093	39225	42449
Fo	85.35	76.25	89.15	80.13
Fm	193.51	215.07	234.65	226.73
Fv	108.16	138.82	145.50	146.60
Fm_L1	135.71	132.62	155.74	137.88
Fm_L2	125.79	115.95	141.99	123.99
Fm_L3	126.35	117.48	141.83	124.94
Fm_L4	126.40	118.72	141.02	125.59
Fm_L5	124.76	118.95	138.70	125.25
Fm_L6	123.28	118.09	135.22	123.25
Fm_L7	122.46	118.81	133.96	122.69
Fm_L8	121.33	117.57	133.11	122.47
Fm_L9	115.40	109.55	125.66	115.48
Fm_D1	146.94	150.59	166.51	158.05
Fm_D2	177.56	192.34	209.37	205.43
Ft_L1	126.49	121.99	146.69	126.79
Ft_L2	114.10	101.94	128.67	109.08
Ft_L3	113.35	101.25	127.25	107.95
Ft_L4	112.33	101.03	125.32	107.47
Ft_L5	110.05	100.47	121.99	106.02
Ft_L6	108.65	99.37	118.62	104.34
Ft_L7	107.23	98.78	117.11	103.70
Ft_L8	106.03	97.84	115.22	102.99
Ft_L9	105.15	97.41	113.20	101.97
Ft_D1	87.46	78.37	93.95	83.87
Ft_D2	93.64	82.75	103.28	92.70
Fo_D1	74.88	66.20	77.15	69.46
Fo_D2	82.10	73.18	85.24	77.30
Fq_L1	9.21	10.64	9.05	11.09
Fq_L2	11.68	14.01	13.32	14.91
Fq_L3	13.00	16.23	14.58	16.99
Fq_L4	14.07	17.69	15.71	18.12
Fq_L5	14.71	18.48	16.71	19.23
Fq_L6	14.63	18.73	16.60	18.91
Fq_L7	15.23	20.03	16.85	19.00
Fq_L8	15.29	19.72	17.89	19.48
Fq_L9	10.25	12.14	12.46	13.50
Fm_v_Fo	0.72	0.97	0.87	0.97
init_qFm	-0.17	-0.22	-0.20	-0.23
qPTOX	0.04	0.04	0.05	0.04
QY_max	0.56	0.65	0.62	0.65
QY_L1	0.07	0.08	0.06	0.08
QY_L2	0.09	0.12	0.09	0.12
QY_L3	0.10	0.14	0.10	0.14
QY_L4	0.11	0.15	0.11	0.14
QY_L5	0.12	0.16	0.12	0.15
QY_L6	0.12	0.16	0.12	0.15
QY_L7	0.12	0.17	0.13	0.15
QY_L8	0.13	0.17	0.13	0.16
QY_L9	0.09	0.11	0.10	0.12
QY_D1	0.40	0.48	0.44	0.47
QY_D2	0.47	0.57	0.51	0.55
NPQ_L1	0.43	0.62	0.51	0.64
NPQ_L2	0.54	0.85	0.65	0.83
NPQ_L3	0.53	0.83	0.65	0.81
NPQ_L4	0.53	0.81	0.66	0.81
NPQ_L5	0.55	0.81	0.69	0.81
NPQ_L6	0.57	0.82	0.74	0.84
NPQ_L7	0.58	0.81	0.75	0.85
NPQ_L8	0.59	0.83	0.76	0.85
NPQ_L9	0.68	0.96	0.87	0.96
NPQ_D1	0.32	0.43	0.41	0.43
NPQ_D2	0.09	0.12	0.12	0.10
transNPQ	0.01	0.03	-0.00	0.02
Qp_L1	0.14	0.15	0.11	0.15
Qp_L2	0.21	0.24	0.19	0.24
Qp_L3	0.23	0.28	0.21	0.27
Qp_L4	0.25	0.30	0.22	0.29
Qp_L5	0.26	0.31	0.25	0.31
Qp_L6	0.27	0.32	0.25	0.31
Qp_L7	0.28	0.34	0.26	0.31
Qp_L8	0.28	0.34	0.28	0.32
Qp_L9	0.21	0.23	0.21	0.24
Qp_D1	0.83	0.86	0.81	0.84
Qp_D2	0.88	0.92	0.85	0.88
