FluorCam7 Numeric Avg Export File

-----------------------------------

	Area 1	Area 2	Area 3	Area 4

Size [pixels]	50805	60682	45718	49921

Fo	150.16	151.81	149.45	151.97

Fm	674.35	676.67	689.57	659.62

Fv	524.19	524.85	540.12	507.65

Fm_L1	499.07	480.05	488.38	499.35

Fm_L2	370.43	392.30	383.51	386.82

Fm_L3	332.07	340.01	350.21	355.37

Fm_D1	433.25	454.68	469.57	413.76

Fm_D2	562.12	542.96	554.59	532.98

Ft_L1	496.47	465.26	470.11	483.27

Ft_L2	355.53	376.09	345.37	369.52

Ft_L3	292.36	308.02	324.26	333.23

Fq_L1	2.59	14.79	18.27	16.08

Fq_L2	14.90	16.21	38.14	17.30

Fq_L3	39.71	31.99	25.94	22.14

QY_max	0.78	0.78	0.78	0.77
