FluorCam7 Numeric Avg Export File

-----------------------------------

	Area 1	Area 2	Area 3	Area 4

Size [pixels]	73193	39234	71618	73203

Fo	150.22	157.08	151.90	148.87

Fm	676.56	675.90	677.97	660.85

Fv	526.34	518.81	526.07	511.98

Fm_L1	485.52	496.55	499.60	478.20

Fm_L2	366.50	380.87	390.34	375.22

Fm_L3	337.58	350.78	351.53	342.61

Fm_D1	447.37	458.77	421.39	455.29

Fm_D2	553.60	547.42	552.37	547.62

Ft_L1	471.20	489.23	489.71	459.53

Ft_L2	332.99	362.82	370.44	354.84

Ft_L3	312.43	312.66	318.59	307.05

Fq_L1	14.32	7.32	9.89	18.67

Fq_L2	33.51	18.05	19.90	20.39

Fq_L3	25.15	38.11	32.94	35.57

QY_max	0.78	0.77	0.78	0.77
