FluorCam7 Numeric Avg Export File

-----------------------------------

	Area 1	Area 2	Area 3	Area 4

Size [pixels]	51839	42306	66832	68563

Fo	153.53	151.26	155.64	158.36

Fm	700.73	685.81	670.08	686.92

Fv	547.19	534.55	514.44	528.56

Fm_L1	507.28	497.48	483.22	500.38

Fm_L2	401.47	407.60	392.27	376.19

Fm_L3	372.93	369.74	325.05	361.83

Fm_D1	456.38	443.89	436.35	427.27

Fm_D2	559.95	548.62	543.77	564.59

Ft_L1	498.91	492.83	480.52	494.71

Ft_L2	372.84	369.11	364.08	353.75

Ft_L3	342.47	327.11	288.25	333.41

Fq_L1	8.36	4.64	2.70	5.66

Fq_L2	28.63	38.50	28.20	22.45

Fq_L3	30.46	42.64	36.80	28.42

QY_max	0.78	0.78	0.77	0.77
