FluorCam7 Numeric Avg Export File

-----------------------------------

	Area 1	Area 2	Area 3	Area 4

Size [pixels]	70456	59652	41669	60937

Fo	152.30	150.51	153.32	155.12

Fm	692.91	686.53	698.38	687.45

Fv	540.61	536.02	545.06	532.32

Fm_L1	517.11	510.25	529.39	505.52

Fm_L2	404.45	408.32	405.05	389.92

Fm_L3	339.72	338.87	361.95	331.00

Fm_D1	430.45	456.73	467.08	461.88

Fm_D2	548.45	559.17	565.09	555.68

Ft_L1	499.95	499.73	520.30	489.78

Ft_L2	374.61	375.83	375.37	372.46

Ft_L3	315.88	315.30	338.55	292.95

Fq_L1	17.16	10.52	9.08	15.74

Fq_L2	29.85	32.49	29.68	17.46

Fq_L3	23.84	23.57	23.40	38.05

QY_max	0.78	0.78	0.78	0.77
