FluorCam7 Numeric Avg Export File

-----------------------------------

	Area 1	Area 2	Area 3	Area 4

Size [pixels]	50710	55102	72276	56782

Fo	155.16	152.06	152.00	147.81

Fm	669.12	672.44	662.59	684.55

Fv	513.97	520.38	510.59	536.74

Fm_L1	474.78	495.53	483.07	492.64

Fm_L2	381.04	398.45	382.91	373.15

Fm_L3	361.06	350.30	354.94	342.75

Fm_D1	454.34	446.91	437.68	470.01

Fm_D2	542.32	535.02	540.14	540.53

Ft_L1	465.51	484.61	475.61	479.63

Ft_L2	346.33	363.76	361.15	341.19

Ft_L3	322.77	309.71	321.14	320.66

Fq_L1	9.26	10.92	7.45	13.01

Fq_L2	34.70	34.68	21.76	31.95

Fq_L3	38.29	40.59	33.80	22.09

QY_max	0.77	0.77	0.77	0.78
