FluorCam7 Numeric Avg Export File

-----------------------------------

	Area 1	Area 2	Area 3	Area 4

Size [pixels]	66582	63772	53389	56494

Fo	151.65	155.01	149.31	147.25

Fm	659.91	668.30	653.87	676.93

Fv	508.26	513.29	504.56	529.68

Fm_L1	487.61	507.56	466.96	493.39

Fm_L2	361.82	383.23	374.47	375.45

Fm_L3	343.81	336.88	326.35	364.37

Fm_D1	424.47	452.39	423.46	465.60

Fm_D2	526.04	559.00	520.89	534.25

Ft_L1	479.56	499.48	459.20	488.92

Ft_L2	337.63	353.66	359.23	356.40

Ft_L3	318.28	303.72	304.43	338.97

Fq_L1	8.06	8.09	7.77	4.47

Fq_L2	24.19	29.58	15.24	19.05

Fq_L3	25.53	33.16	21.91	25.39

QY_max	0.77	0.77	0.77	0.78
