FluorCam7 Numeric Avg Export File

-----------------------------------

	Area 1	Area 2	Area 3	Area 4

Size [pixels]	75201	71469	39595	49604

Fo	158.10	153.94	151.06	157.69

Fm	721.13	719.19	711.36	694.04

Fv	563.02	565.25	560.30	536.35

Fm_L1	532.42	512.87	528.19	499.74

Fm_L2	417.90	404.48	394.98	408.14

Fm_L3	374.71	373.51	354.31	350.80

Fm_D1	473.70	473.26	487.05	475.32

Fm_D2	568.39	603.29	574.55	575.62

Ft_L1	523.69	509.26	515.12	483.12

Ft_L2	390.45	378.85	356.24	376.55

Ft_L3	336.21	333.63	328.81	320.32

Fq_L1	8.73	3.61	13.07	16.62

Fq_L2	27.45	25.63	38.74	31.60

Fq_L3	38.50	39.88	25.49	30.48

QY_max	0.78	0.79	0.79	0.77
