FluorCam7 Numeric Avg Export File

-----------------------------------

	Area 1	Area 2	Area 3	Area 4

Size [pixels]	73683	41288	62985	49721

Fo	155.12	149.32	152.22	150.30

Fm	681.21	668.08	695.61	685.98

Fv	526.09	518.76	543.39	535.68

Fm_L1	484.46	468.89	495.27	518.81

Fm_L2	389.24	362.00	409.48	397.11

Fm_L3	337.20	344.01	351.64	331.39

Fm_D1	427.94	447.88	440.59	467.05

Fm_D2	552.37	556.63	571.84	544.04

Ft_L1	477.60	453.17	480.40	499.61

Ft_L2	356.45	341.98	392.52	364.26

Ft_L3	310.70	308.20	329.34	296.85

Fq_L1	6.86	15.72	14.87	19.20

Fq_L2	32.79	20.02	16.95	32.85

Fq_L3	26.50	35.81	22.30	34.54

QY_max	0.77	0.78	0.78	0.78
