FluorCam7 Numeric Avg Export File

-----------------------------------

	Area 1	Area 2	Area 3	Area 4

Size [pixels]	58605	61585	73974	46160

Fo	149.24	146.26	146.22	147.44

Fm	710.23	704.97	713.47	704.27

Fv	560.99	558.71	567.26	556.83

Fm_L1	521.15	523.99	540.33	494.92

Fm_L2	391.49	404.53	411.64	405.66

Fm_L3	358.16	350.16	382.40	376.78

Fm_D1	451.00	453.93	488.23	436.98

Fm_D2	554.70	574.38	571.85	556.31

Ft_L1	505.92	514.79	532.12	481.22

Ft_L2	358.46	373.87	374.11	383.13

Ft_L3	320.28	315.36	358.16	345.34

Fq_L1	15.23	9.19	8.21	13.70

Fq_L2	33.03	30.66	37.53	22.53

Fq_L3	37.88	34.80	24.25	31.44

QY_max	0.79	0.79	0.80	0.79
