FluorCam7 Numeric Avg Export File

-----------------------------------

	Area 1	Area 2	Area 3	Area 4

Size [pixels]	43465	68938	62334	40397

Fo	150.28	156.50	150.94	156.73

Fm	702.97	725.12	699.47	710.55

Fv	552.69	568.62	548.53	553.81

Fm_L1	495.99	519.34	503.86	511.32

Fm_L2	419.88	392.98	380.44	398.60

Fm_L3	354.34	355.21	374.80	345.38

Fm_D1	446.59	457.85	434.88	471.67

Fm_D2	581.58	607.88	580.61	565.72

Ft_L1	480.17	509.59	494.71	500.94

Ft_L2	392.74	359.30	347.02	372.42

Ft_L3	317.28	323.47	341.50	310.13

Fq_L1	15.81	9.76	9.16	10.37

Fq_L2	27.14	33.68	33.42	26.18

Fq_L3	37.07	31.74	33.30	35.25

QY_max	0.79	0.78	0.78	0.78
