FluorCam7 Numeric Avg Export File

-----------------------------------

	Area 1	Area 2	Area 3	Area 4

Size [pixels]	51851	61547	54818	60923

Fo	148.03	145.44	151.10	156.77

Fm	687.96	667.90	685.31	673.11

Fv	539.93	522.46	534.22	516.34

Fm_L1	517.20	468.73	504.00	480.76

Fm_L2	380.02	372.83	381.88	379.93

Fm_L3	343.59	323.00	336.16	349.29

Fm_D1	460.14	437.78	433.53	440.88

Fm_D2	557.36	541.78	548.28	543.86

Ft_L1	504.41	458.91	496.48	464.21

Ft_L2	364.50	341.87	357.56	356.82

Ft_L3	304.56	288.99	307.32	324.71

Fq_L1	12.79	9.82	7.52	16.55

Fq_L2	15.52	30.96	24.32	23.12

Fq_L3	39.04	34.01	28.84	24.58

QY_max	0.78	0.78	0.78	0.77
