FluorCam7 Numeric Avg Export File

-----------------------------------

	Area 1	Area 2	Area 3	Area 4

Size [pixels]	50587	66387	65436	58881

Fo	153.69	151.02	158.77	150.49

Fm	719.73	714.51	700.18	707.48

Fv	566.04	563.48	541.41	556.99

Fm_L1	525.81	520.27	495.79	531.29

Fm_L2	424.72	410.30	406.85	409.80

Fm_L3	352.51	348.87	341.08	357.81

Fm_D1	446.67	446.28	481.89	456.27

Fm_D2	597.13	586.97	577.88	559.06

Ft_L1	510.37	510.45	487.57	524.24

Ft_L2	395.91	374.23	383.81	373.43

Ft_L3	323.39	318.35	317.64	334.77

Fq_L1	15.43	9.82	8.22	7.05

Fq_L2	28.81	36.07	23.05	36.36

Fq_L3	29.12	30.53	23.43	23.05

QY_max	0.79	0.79	0.77	0.79
