FluorCam7 Numeric Avg Export File

-----------------------------------

	Area 1	Area 2	Area 3	Area 4

Size [pixels]	52707	64993	61817	51591

Fo	147.03	163.57	153.22	156.65

Fm	725.46	717.91	711.63	713.18

Fv	578.42	554.34	558.41	556.53

Fm_L1	532.76	513.52	508.76	511.09

Fm_L2	415.51	411.39	386.06	413.25

Fm_L3	368.08	372.35	363.67	356.45

Fm_D1	496.82	466.73	443.79	453.76

Fm_D2	591.51	564.04	573.67	563.62

Ft_L1	514.55	499.77	489.51	502.47

Ft_L2	384.49	373.78	360.19	388.67

Ft_L3	337.86	337.12	327.38	327.09

Fq_L1	18.21	13.75	19.24	8.63

Fq_L2	31.02	37.61	25.87	24.58

Fq_L3	30.22	35.23	36.30	29.36

QY_max	0.80	0.77	0.78	0.78
