FluorCam7 Numeric Avg Export File

-----------------------------------

	Area 1	Area 2	Area 3	Area 4

Size [pixels]	63285	63341	73269	66319

Fo	153.13	150.51	149.82	148.23

Fm	690.27	716.98	698.09	695.14

Fv	537.14	566.47	548.27	546.91

Fm_L1	492.41	510.36	507.58	526.69

Fm_L2	393.53	393.11	387.79	410.51

Fm_L3	349.62	355.41	363.14	353.90

Fm_D1	454.43	453.80	465.91	474.56

Fm_D2	564.46	595.01	566.50	574.58

Ft_L1	485.48	503.61	498.94	518.43

Ft_L2	357.01	354.72	351.08	387.27

Ft_L3	314.68	325.93	335.37	323.65

Fq_L1	6.93	6.75	8.64	8.26

Fq_L2	36.51	38.39	36.71	23.24

Fq_L3	34.94	29.48	27.77	30.25

QY_max	0.78	0.79	0.79	0.79
