FluorCam7 Numeric Avg Export File

-----------------------------------

	Area 1	Area 2	Area 3	Area 4

Size [pixels]	69785	68263	58644	42719

Fo	153.38	149.38	151.20	151.11

Fm	721.80	734.16	736.42	722.67

Fv	568.42	584.78	585.21	571.55

Fm_L1	527.17	552.93	536.57	539.52

Fm_L2	432.80	433.56	436.72	429.19

Fm_L3	349.61	382.71	374.73	386.19

Fm_D1	479.52	498.34	507.90	496.83

Fm_D2	602.86	577.87	603.80	568.28

Ft_L1	511.23	533.34	526.20	520.74

Ft_L2	395.83	400.62	410.04	399.71

Ft_L3	324.45	350.33	332.79	341.65

Fq_L1	15.94	19.58	10.37	18.78

Fq_L2	36.96	32.94	26.69	29.48

Fq_L3	25.16	32.38	41.94	44.54

QY_max	0.79	0.80	0.79	0.79
